Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
CRC_ACCC_01	0	0	0.0201355610795725	0.221685298522952	0	0.0839231796375931	0.0831017761715697	0.151272146684561	0.118653776006769	0	0.0438100394797545	0	0.0285445044174753	0.353479163085958	0.104462949983212	0.207498896695222	0.000666069015994389	0.0203382974825829	0	0.0535119358786093	0.000617797894775539	0	0.01	0.176381767282569	1.02502973135968	1.4917013920366
CRC_ACCC_02	0.0297241249681219	0	0.0739651697989744	0.13555896547016	0	0.413589555104169	0	0.182503022821353	0.139271386229617	0.100842501103681	0	0.0618337229420585	0.295805861286638	1.81398724196325	0.279494550336037	0.386823501357604	0	0	0.0360064554169684	0.105905305427621	0	0	0	0.731710636355371	0.701846648026194	4.05531136422625
CRC_ACCC_03	0.147257430786531	0	0.166499909853477	0.0833871146438005	0	0.322725678237679	0.0188073099820584	0.0305837969749108	0.0942151209182462	0	0.120377437208149	0	0	1.05720727814314	0.0817419196540915	0.046106418841497	0	0	0	1.00297274760314	0	0.177845284845939	0	0.436228539516164	0.9113259582676	3.34972744769266
CRC_ACCC_04	0.0771548805230095	0	0.338166407620539	0.00553978861363511	0	0.589364247419221	0.0565533689178743	0	0.109082447404965	0	0.142500149278799	0	0	0.512652969551538	0.0402216617825737	0.185008865493233	0	0.0316491097876269	0	0.132687182601539	0	0.0701066618279048	0	0.3103183562013	0.95597822871007	2.29068774082246
CRC_ACCC_05	0.00653028059776013	0	0.317730868703217	0.123407264128925	0	0.505352137705877	0.00116894031729417	0.0123871371771277	0.2486285328655	0	0.0560659753705651	0.00899455422356137	0.0103097625275192	0.494129400909591	0.0803938187842521	0.232902929915684	0	0	0	0.0844433354085815	0	0.043833583135824	0	0.369592304180516	0.930664182075544	2.22627852177128
CRC_ACCC_06	0	0	0.224977154386782	0.135435997829964	0	0.304075307756055	0	0.141687870765279	0.196237167039769	0	0	0.0615909816331184	0.0620274635144219	0.677003983447927	0.12617094724034	0.23180176232977	0	0	0	0.0867997318748921	0	0.0561224904389081	0	0.446821491529342	0.894158233442431	2.30393085825723
CRC_ACCC_07	0.017222269208535	0	0.210520574586454	0.184806940035335	0	0.443372712245326	0	0.0266545543455199	0.28797219515592	0	0	0.0417201094314742	0	0.636571012720985	0.225326665729254	0.337921341710767	0	0	0	0.0315453724677926	0	0	0	0.49932939550893	0.866335618744112	2.44363374763736
CRC_ACCC_08	0	0	0.418418948375169	0.170911497359528	0	0.31986309225141	0	0.0584818470582895	0.199415619675564	0	0	0.0963244242913526	0.0539580961048399	0.373935627765395	0.141891536944692	0.223503383579151	0.0167023900935326	0	0	0.138446219517578	0	0	0.2	0.0781436155784269	1.04875513649437	2.2118526830165
CRC_ACCC_09	0.00240935739206356	0	0.219197629214984	0.4028900988353	0	0.211520580483222	0.170855433423578	0.192007021677913	0.136400372316261	0	0.268959193722271	0	0.014399629040521	0.354162669747495	0.223781450329211	0.303529057385317	0	0	0	0.0387748626318121	0	0.146465838537774	0	0.478081370236171	0.878312521865056	2.68535319473772
CRC_ACCC_11	0.0340791893302123	0	0.324475613305213	0.0542767575036804	0	0.466515437660361	0	0.0195931060333281	0.388696890353667	0	0	0.0210045758649732	0.0160951219755708	0.496029305547352	0.0544041234608926	0.0587742866647942	0.00458135135582105	0.0213988309019418	0	0.232908686988007	0	0.084875818747155	0	0.278096716021018	0.971602539455481	2.27770909569297
